species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Aaptos aaptos,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,1,5,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240038 
Aaptos papillata,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD:WORMS,2,2,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240051 
Protosuberites rugosus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Pseudosuberites hyalinus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,1,1,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240119 
Pseudosuberites mollis,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Pseudosuberites montiniger,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Pseudosuberites sadko,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Pseudosuberites sulphureus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella biseta,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Rhizaxinella elongata,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella gracilis,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella pyrifera,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Rhizaxinella schaudinni,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Rhizaxinella uniseta,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites baffini,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites caminatus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites carnosus,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD,0,4,0,WORMS,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240164 
Suberites concinnus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites crelloides,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites distortus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites domuncula,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD:WORMS,3,5,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=151715 
Suberites gibbosiceps,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites glasenappii,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites hirsutus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites hystrix,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites laticeps,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites massa,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Suberites montalbidus,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD:WORMS,1,3,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240193 
Suberites prototypus,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,,gap,
Suberites spermatozoon,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD,3,3,0,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=240208 
Suberites suberia,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD:WORMS,,,,WORMS,gap,
Suberites syringella,Porifera,Demospongiae,Suberitida,Suberitidae,WORMS,,,,WORMS,gap,
Suberites virgultosus,Porifera,Demospongiae,Suberitida,Suberitidae,BOLD:WORMS,6,10,0,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1139221 
Aartsenia candida,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Brachystomia scalaris,Mollusca,Gastropoda,,Pyramidellidae,BOLD,8,10,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1138275 
Chrysallida bjoernssoni,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Chrysallida boucheti,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Chrysallida canariensis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Chrysallida hoeisaeteri,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Chrysallida seamounti,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Chrysallida sublustris,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Cingulina isseli,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Eulimella acicula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Eulimella ataktos,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Eulimella atlantis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Eulimella bogii,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Eulimella carminae,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Eulimella cerullii,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Eulimella neoattenuata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Eulimella phaula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Eulimella protofunis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Eulimella scillae,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Eulimella sudis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Eulimella ventricosa,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Euparthenia bulinea,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=402899 
Euparthenia humboldti,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Iolaea neofelixoides,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Kejdonia cachiai,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Liostomia afzelii,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Liostomia clavula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Liostomia eburnea,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Liostomia hansgei,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Liostomia mamoi,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Megastomia winfriedi,Mollusca,Gastropoda,,Pyramidellidae,BOLD,2,2,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=957443 
Menestho albula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Menestho truncatula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Noemiamea dolioliformis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomella doliolum,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia aartseni,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia acuta,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia bernardi,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia bismichaelis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia bulimulus,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia buzzurroi,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia clavulina,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia duureni,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia fehrae,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia franki,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia harveyi,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia hierroensis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia kromi,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia kuiperi,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia lesuroiti,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia lorellae,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia lorioli,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia lukisii,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia megerlei,Mollusca,Gastropoda,,Pyramidellidae,BOLD,1,1,0,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=968377 
Odostomia microeques,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia oblongula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia odostomella,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia omphaloessa,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia plicata,Mollusca,Gastropoda,,Pyramidellidae,BOLD:WORMS,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=957455 
Odostomia prona,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia restii,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia silesui,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia striolata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia suboblonga,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia testiculus,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia turgida,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia turriculata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia turrita,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia umbilicaris,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Odostomia umbilicatissima,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Odostomia unidentata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Ondina anceps,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Ondina coarctata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Ondina crystallina,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Ondina diaphana,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Ondina divisa,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Ondina mosti,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Ondina normani,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Ondina obliqua,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Ondina vitrea,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Ondina warreni,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Oscilla jocosa,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Parthenina interstincta,Mollusca,Gastropoda,,Pyramidellidae,BOLD,1,1,0,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=963224 
Pseudoscilla bilirata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Pseudoscilla pauciemersa,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Rissopsetia islandica,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Spiralinella spiralis,Mollusca,Gastropoda,,Pyramidellidae,BOLD,5,5,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=963206 
Styloptygma beatrix,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Syrnola cinctella,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Syrnola fasciata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Syrnola minuta,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Tiberia minuscula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla acuta,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla acutissima,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla amoena,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla atlantica,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla fulgidula,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla gofasi,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla gradata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla hamata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla hamonvillei,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla hoeki,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla inobservata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla jeffreysii,Mollusca,Gastropoda,,Pyramidellidae,BOLD,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=708843 
Turbonilla lactea,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla macandreae,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla magnifica,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla mediocris,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla micans,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla mirifica,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla multilirata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla nofronii,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla obliquata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla paucistriata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla pauperata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla postacuticostata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla pumila,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla pusilla,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla rectogallica,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla rosewateri,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla semicostata,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Turbonilla sinuosa,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla subulina,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla syrtensis,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,WORMS,gap,
Turbonilla vaillanti,Mollusca,Gastropoda,,Pyramidellidae,WORMS,,,,,gap,
Abantennarius coccineus,Chordata,Actinopterygii,Lophiiformes,Antennariidae,BOLD,59,65,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1123669 
Antennarius pauciradiatus,Chordata,Actinopterygii,Lophiiformes,Antennariidae,BOLD,17,18,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=111875 
Antennatus sanguineus,Chordata,Actinopterygii,Lophiiformes,Antennariidae,BOLD,,,,FB,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=503511 
Histrio histrio,Chordata,Actinopterygii,Lophiiformes,Antennariidae,WORMS,,,,WORMS,gap,
Abarenicola pusilla,Annelida,Polychaeta,Capitellida,Arenicolidae,WORMS,,,,WORMS,gap,
Arenicola cristata,Annelida,Polychaeta,Capitellida,Arenicolidae,WORMS,,,,WORMS,gap,
Arenicola defodiens,Annelida,Polychaeta,Capitellida,Arenicolidae,BOLD:WORMS,8,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=649396 
Arenicola marina,Annelida,Polychaeta,Capitellida,Arenicolidae,BOLD:WORMS:iNat,46,57,2,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=198405 
Arenicolides branchialis,Annelida,Polychaeta,Capitellida,Arenicolidae,WORMS,,,,WORMS,gap,
Arenicolides ecaudata,Annelida,Polychaeta,Capitellida,Arenicolidae,BOLD:WORMS,3,10,0,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=991719 
Arenicolides grubii,Annelida,Polychaeta,Capitellida,Arenicolidae,WORMS,,,,,gap,
Branchiomaldane vincentii,Annelida,Polychaeta,Capitellida,Arenicolidae,WORMS,,,,WORMS,gap,
Abatus cordatus,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,BOLD,1,1,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=222181 
Aceste bellidifera,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,WORMS,,,,,gap,
Brisaster fragilis,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,BOLD:WORMS,6,7,1,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=81354 
Abbreviata abbreviata,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,FE,gap,
Abbreviata kazachstanica,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Abbreviata turkomanica,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Pentadentoptera skrjabini,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera alata,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera apivori,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera brevivaginata,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera buckleyi,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera clausa,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera crosi,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera dispar,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera getula,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera kotlani,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera massino,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera mexicana,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera myotis,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera praeputialis,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera rapacis,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Physaloptera sibirica,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Proleptus acutus,Nematoda,Secernentea,Spirurida,Physalopteridae,WORMS,,,,WORMS,gap,
Proleptus obtusus,Nematoda,Secernentea,Spirurida,Physalopteridae,WORMS,,,,WORMS,gap,
Proleptus robustus,Nematoda,Secernentea,Spirurida,Physalopteridae,WORMS,,,,WORMS,gap,
Pseudophysaloptera kahmanni,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Pseudophysaloptera soricina,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Thubunaea baylisi,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Thubunaea schukurovi,Nematoda,Secernentea,Spirurida,Physalopteridae,FE,,,,,gap,
Abida ateni,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,,,,,gap,
Abida attenuata,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,3,3,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211255 
Abida bigerrensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,7,7,4,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211258 
Abida cylindrica,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,9,9,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211256 
Abida gittenbergeri,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,11,11,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211257 
Abida occidentalis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,,,,FE,gap,
Abida partioti,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,5,5,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211260 
Abida polyodon,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,12,12,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211259 
Abida pyrenaearia,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,6,6,5,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211254 
Abida secale,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,184,196,57,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211253 
Abida vasconica,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211261 
Abida vergniesiana,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,17,17,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=961245 
Chondrina aguilari,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,6,7,4,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=961227 
Chondrina altimirai,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,2,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303620 
Chondrina arcadica,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,12,13,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303619 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=900970 
Chondrina arigonis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,11,15,4,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303617 
Chondrina arigonoides,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,2,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1154185 
Chondrina ascendens,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,14,17,6,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303616 
Chondrina avenacea,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE:iNat,23,44,6,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=106668 
Chondrina bergomensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,,,,FE,gap,
Chondrina bigorriensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,6,6,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=211262 
Chondrina burtscheri,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=887217 
Chondrina calpica,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,17,21,13,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303615 
Chondrina centralis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,2,3,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303614 
Chondrina cliendentata,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,,,,,gap,
Chondrina dertosensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,9,16,8,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=961228 
Chondrina falkneri,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,5,6,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=446955 
Chondrina farinesii,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,BOLD:FE,31,34,20,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303613 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303610 
Chondrina gasulli,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,5,7,5,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303612 
Chondrina generosensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,,,,,gap,
Chondrina gerhardi,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,,,,,gap,
Chondrina granatensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,10,11,7,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303611 
Chondrina guiraoensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,4,4,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1154187 
Chondrina ingae,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,4,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1154188 
Chondrina jumillensis,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,,,,FE,gap,
Chondrina kobelti,Mollusca,Gastropoda,Stylommatophora,Chondrinidae,FE,21,27,6,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=303609 
