species,Order,Family,source,specimens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Aceria alniviridis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria alpestris,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria ambrosiae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria anceps,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria angustifoliae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,BOLD,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=718473 ,
Aceria anserina,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria anthocoptes,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,BOLD:FE,1,1,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=718516 ,
Aceria anthonoma,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria arceosae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria artemisiae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria artemisiaecampestris,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria arundinis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria astragali,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria balasi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria barbujanae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria barroisi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria bartschiae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria bezzii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria biradiata,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria bistriata,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria boissieri,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria bonarotae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria brachypodii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria breviceps,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria brevicincta,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria brevipes,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria brevirostris,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria brevisetosa,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria bromus,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria byersi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria calamagrostis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria calathidis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria calathina,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria caliberberis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria campanulae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria campestricola,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cardaminis,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria carduui,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,,gap,
Aceria carinifex,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE:iNat,,,,FE,gap,
Aceria carlinae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria carpini,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria carvi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria caulleryi,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria caulobia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria centaureae,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cephalonea,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cerastii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cerrea,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
Aceria cerrigemmarum,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,FE,,,,FE,gap,
