species,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Corynoneura paludosa,Diptera,Chironomidae,BOLD:FE:SyDip,10,10,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731400
Corynoneura prima,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Corynoneura scutellata,Diptera,Chironomidae,BOLD:FE:SyDip,141,147,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=479140
Corynoneura tyrrhena,Diptera,Chironomidae,ES:SyDip,,,,ES,gap,
Cricotopus (Cricotopus) annulator,Diptera,Chironomidae,BOLD:FE:SyDip,58,62,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68672
Cricotopus (Cricotopus) beckeri,Diptera,Chironomidae,BOLD:FE:SyDip,5,5,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=95097
Cricotopus (Cricotopus) bicinctus,Diptera,Chironomidae,BOLD:FE:SyDip,1697,1719,9,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=150153
Cricotopus (Cricotopus) caducus,Diptera,Chironomidae,BOLD:FE:SyDip,9,9,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751184
Cricotopus (Cricotopus) coronatus,Diptera,Chironomidae,BOLD:FE:SyDip,23,25,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=387259
Cricotopus (Cricotopus) cumulatus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Cricotopus) curtus,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1140793
Cricotopus (Cricotopus) cylindraceus,Diptera,Chironomidae,BOLD:FE:SyDip,5,5,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731449
Cricotopus (Cricotopus) festivellus,Diptera,Chironomidae,BOLD:FE:SyDip,20,23,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=354584
Cricotopus (Cricotopus) fuscus,Diptera,Chironomidae,BOLD:FE:SyDip,100,100,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=354582
Cricotopus (Cricotopus) gelidus,Diptera,Chironomidae,BOLD:FE:SyDip,3,6,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68664
Cricotopus (Cricotopus) guttatus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Cricotopus) latellai,Diptera,Chironomidae,ES,,,,ES,gap,
Cricotopus (Cricotopus) lestralis,Diptera,Chironomidae,BOLD:FE:SyDip,2,10,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=223340https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=387249
Cricotopus (Cricotopus) levantinus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Cricotopus) magus,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371354
Cricotopus (Cricotopus) mantetanus,Diptera,Chironomidae,ES,,,,ES,gap,
Cricotopus (Cricotopus) nevadensis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Cricotopus) pallidipes,Diptera,Chironomidae,BOLD:FE:SyDip,2,3,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751598
Cricotopus (Cricotopus) patens,Diptera,Chironomidae,BOLD:FE:SyDip,69,74,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=387250
Cricotopus (Cricotopus) pilidorsum,Diptera,Chironomidae,BOLD:FE:SyDip,0,1,0,SyDip,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=774755
Cricotopus (Cricotopus) pilosellus,Diptera,Chironomidae,BOLD:FE:SyDip,19,21,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=347345
Cricotopus (Cricotopus) pirifer,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Cricotopus) pulchripes,Diptera,Chironomidae,BOLD:FE:SyDip,5,6,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=387258
Cricotopus (Cricotopus) royanus,Diptera,Chironomidae,ES,,,,ES,gap,
Cricotopus (Cricotopus) septentrionalis,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,SyDip,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751769
Cricotopus (Cricotopus) similis,Diptera,Chironomidae,BOLD:FE:SyDip,245,248,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=729621
Cricotopus (Cricotopus) slossonae,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Cricotopus) tibialis,Diptera,Chironomidae,BOLD:FE:SyDip,241,256,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=68663
Cricotopus (Cricotopus) tremulus,Diptera,Chironomidae,BOLD:FE:SyDip,439,444,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=150157
Cricotopus (Cricotopus) triannulatus,Diptera,Chironomidae,BOLD:FE:SyDip,2848,2892,7,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=297374
Cricotopus (Cricotopus) trifascia,Diptera,Chironomidae,BOLD:FE:SyDip,685,689,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=150171
Cricotopus (Cricotopus) vierriensis,Diptera,Chironomidae,BOLD:FE:SyDip,256,260,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=354583
Cricotopus (Cricotopus) villosus,Diptera,Chironomidae,BOLD:FE:SyDip,2,8,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=479162
Cricotopus (Cricotopus) zavreli,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Isocladius) arcuatus,Diptera,Chironomidae,BOLD:FE:SyDip,2,4,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751597
Cricotopus (Isocladius) brevipalpis,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=596324
Cricotopus (Isocladius) dobroginus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Isocladius) glacialis,Diptera,Chironomidae,BOLD:FE:SyDip,29,29,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=92545
Cricotopus (Isocladius) laetus,Diptera,Chironomidae,BOLD:FE:SyDip,7,7,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751178
Cricotopus (Isocladius) laricomalis,Diptera,Chironomidae,BOLD:FE:SyDip,45,51,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371465
Cricotopus (Isocladius) maurii,Diptera,Chironomidae,BOLD:FE:SyDip,8,8,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751782
Cricotopus (Isocladius) obnixus,Diptera,Chironomidae,BOLD:FE:SyDip,861,862,7,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=387271
Cricotopus (Isocladius) obtusus,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751777
Cricotopus (Isocladius) ornatus,Diptera,Chironomidae,BOLD:FE:SyDip,36,37,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371454
Cricotopus (Isocladius) perniger,Diptera,Chironomidae,BOLD:FE:SyDip,328,328,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56465
Cricotopus (Isocladius) pilicauda,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751783
Cricotopus (Isocladius) pilitarsis,Diptera,Chironomidae,BOLD:FE:SyDip,12,13,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=719408
Cricotopus (Isocladius) relucens,Diptera,Chironomidae,BOLD:FE:SyDip,7,7,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731428
Cricotopus (Isocladius) reversus,Diptera,Chironomidae,BOLD:FE:SyDip,12,15,6,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=719409
Cricotopus (Isocladius) speciosus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Isocladius) suspiciosus,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751599
Cricotopus (Isocladius) sylvestris,Diptera,Chironomidae,BOLD:FE:SyDip,299,324,6,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237186
Cricotopus (Isocladius) tricinctus,Diptera,Chironomidae,BOLD:FE:SyDip,403,413,10,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=393505https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=676133
Cricotopus (Isocladius) trifasciatus,Diptera,Chironomidae,BOLD:FE:SyDip,55,61,7,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=457186
Cricotopus (Nostococladius) lygropis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Paratrichocladius) gayi,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Paratrichocladius) guidalii,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Paratrichocladius) osellai,Diptera,Chironomidae,BOLD:FE:SyDip,22,22,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=738314
Cricotopus (Paratrichocladius) pierfrancescoi,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus (Paratrichocladius) rufiventris,Diptera,Chironomidae,BOLD:FE:SyDip,445,461,6,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=738315
Cricotopus (Paratrichocladius) skirwithensis,Diptera,Chironomidae,BOLD:FE:SyDip,421,423,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=738317
Cricotopus (Paratrichocladius) veronicae,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus albiforceps,Diptera,Chironomidae,BOLD:FE:SyDip,149,152,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380643
Cricotopus algarum,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cricotopus ephippium,Diptera,Chironomidae,BOLD:FE,0,2,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751595
Cricotopus flavocinctus,Diptera,Chironomidae,BOLD:FE:SyDip,6,9,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731407
Cricotopus intersectus,Diptera,Chironomidae,BOLD:FE,119,132,6,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371452
Cricotopus lestralis,Diptera,Chironomidae,BOLD:FE,26,38,5,ITIS,
Cricotopus nivalis,Diptera,Chironomidae,BOLD,24,24,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=738313
Cricotopus reductus,Diptera,Chironomidae,FE,,,,,gap,
Cricotopus slossoanae,Diptera,Chironomidae,BOLD,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=676132
Cricotopus varipes,Diptera,Chironomidae,FE,,,,ITIS,gap,
Cryptochironomus (Cryptochironomus) ussouriensis,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cryptochironomus albofasciatus,Diptera,Chironomidae,BOLD:FE:SyDip,26,26,7,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751188
Cryptochironomus crassiforceps,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Cryptochironomus defectus,Diptera,Chironomidae,BOLD:FE:SyDip,2,4,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728714
Cryptochironomus denticulatus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cryptochironomus obreptans,Diptera,Chironomidae,BOLD:FE:SyDip,3,6,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728708
Cryptochironomus psittacinus,Diptera,Chironomidae,BOLD:FE:SyDip,152,160,7,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141623
Cryptochironomus redekei,Diptera,Chironomidae,BOLD:FE:SyDip,16,17,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296253
Cryptochironomus rostratus,Diptera,Chironomidae,BOLD:FE:SyDip,18,21,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728740
Cryptochironomus supplicans,Diptera,Chironomidae,BOLD:FE:SyDip,39,47,5,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380620
Cryptotendipes (Chironomus) nigronitens,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cryptotendipes darbyi,Diptera,Chironomidae,FE:SyDip,578,579,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=102864
Cryptotendipes holsatus,Diptera,Chironomidae,BOLD:FE:SyDip,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728738
Cryptotendipes pflugfelderi,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751596
Cryptotendipes pseudotener,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Cryptotendipes usmaensis,Diptera,Chironomidae,BOLD:FE:SyDip,5,7,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728717
Cyphomella cornea,Diptera,Chironomidae,BOLD:FE:SyDip,127,127,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=272777
Demeijerea rufipes,Diptera,Chironomidae,BOLD:FE:SyDip,4,4,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751591
Demicryptochironomus (Irmakia) latior,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Demicryptochironomus (Irmakia) neglectus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Demicryptochironomus vulneratus,Diptera,Chironomidae,BOLD:FE:SyDip,10,11,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728750
Derotanypus sibiricus,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Diamesa aberrata,Diptera,Chironomidae,BOLD:FE:SyDip,96,98,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56503
Diamesa alata,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa bertrami,Diptera,Chironomidae,BOLD:FE:SyDip,58,63,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56497
Diamesa bohemani,Diptera,Chironomidae,BOLD:FE:SyDip,65,70,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56491
Diamesa chorea,Diptera,Chironomidae,BOLD:SyDip,746,746,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=752337
Diamesa cinerella,Diptera,Chironomidae,BOLD:FE:SyDip,15,15,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=788756
Diamesa dampfi,Diptera,Chironomidae,FE:SyDip,6,6,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=788758
Diamesa geminata,Diptera,Chironomidae,BOLD:FE:SyDip,59,60,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=479138
Diamesa goetghebueri,Diptera,Chironomidae,FE:SyDip,17,17,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=788759
Diamesa gregsoni,Diptera,Chironomidae,BOLD:FE:SyDip,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=273936
Diamesa hamaticornis,Diptera,Chironomidae,FE:SyDip,3,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=936626
Diamesa hyperborea,Diptera,Chironomidae,BOLD:FE:SyDip,57,57,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56502
Diamesa incallida,Diptera,Chironomidae,BOLD:FE:SyDip,13,14,3,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=204024
Diamesa insignipes,Diptera,Chironomidae,BOLD:FE:SyDip,251,251,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=786632
Diamesa kasymovi,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa laticauda,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa latitarsis,Diptera,Chironomidae,BOLD:FE:SyDip,32,34,2,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=204009
Diamesa lavillei,Diptera,Chironomidae,BOLD:FE:SyDip,2,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371370
Diamesa lindrothi,Diptera,Chironomidae,BOLD:FE:SyDip,12,13,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=204018
Diamesa longipes,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa macronyx,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Diamesa martae,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa modesta,Diptera,Chironomidae,FE:SyDip,11,11,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=788760
Diamesa nowickiana,Diptera,Chironomidae,FE:SyDip,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1125433
Diamesa parancysta,Diptera,Chironomidae,FE:SyDip,0,2,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1161486
Diamesa permacra,Diptera,Chironomidae,BOLD:FE:SyDip,7,8,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296249
Diamesa saetheri,Diptera,Chironomidae,BOLD:FE:SyDip,5,5,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=204016
Diamesa serratosioi,Diptera,Chironomidae,BOLD:FE:SyDip,16,23,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=204017
Diamesa simplex,Diptera,Chironomidae,BOLD:SyDip,11,12,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=479139
Diamesa spinacies,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa starmachi,Diptera,Chironomidae,BOLD:FE,1,1,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=348421
Diamesa steinboecki,Diptera,Chironomidae,FE:SyDip,47,47,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=788762
Diamesa tenuipes,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa thomasi,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa tonsa,Diptera,Chironomidae,BOLD:FE:SyDip,78,78,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=204020
Diamesa vaillanti,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Diamesa valkanovi,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa veletensis,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa wuelkeri,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Diamesa zernyi,Diptera,Chironomidae,BOLD:FE:SyDip,29,31,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141703
Dicrotendipes fusconotatus,Diptera,Chironomidae,FE:SyDip,0,1,0,SyDip,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1156087
Dicrotendipes lobiger,Diptera,Chironomidae,BOLD:FE:SyDip,353,353,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=272774
Dicrotendipes modestus,Diptera,Chironomidae,BOLD:SyDip,1040,1052,10,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141640
Dicrotendipes nervosus,Diptera,Chironomidae,BOLD:FE:SyDip,311,335,6,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141624
Dicrotendipes notatus,Diptera,Chironomidae,BOLD:FE:SyDip,2,5,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728730
Dicrotendipes pallidicornis,Diptera,Chironomidae,FE,,,,FE,gap,
Dicrotendipes peringueyanus,Diptera,Chironomidae,FE:SyDip,0,1,0,SyDip,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=936554
Dicrotendipes pulsus,Diptera,Chironomidae,BOLD:FE,17,19,3,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371460
Dicrotendipes septemmaculatus,Diptera,Chironomidae,FE:SyDip,45,47,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=504483
Dicrotendipes tritomus,Diptera,Chironomidae,BOLD:FE:SyDip,1375,1383,4,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=272773
Diplocladius cultriger,Diptera,Chironomidae,BOLD:FE:SyDip,651,655,5,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=297378
Doncricotopus dentatus,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751771
Dratnalia potamophylaxi,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Einfeldia mendax,Diptera,Chironomidae,BOLD:FE:SyDip,5,5,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731424
Einfeldia pagana,Diptera,Chironomidae,BOLD:FE:SyDip,15,20,3,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=408060https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=645130
Einfeldia pectoralis,Diptera,Chironomidae,FE:SyDip,,,,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731467
Endochironomus albipennis,Diptera,Chironomidae,BOLD:FE:SyDip,88,93,4,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380644
Endochironomus dispar,Diptera,Chironomidae,BOLD:SyDip,0,1,0,SyDip,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=856411
Endochironomus lepidus,Diptera,Chironomidae,BOLD:SyDip,0,1,0,SyDip,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728719
Endochironomus oldenbergi,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Endochironomus stackelbergi,Diptera,Chironomidae,BOLD:FE:SyDip,3,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=731464
Endochironomus tendens,Diptera,Chironomidae,BOLD:FE:SyDip,37,45,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296254
Epoicocladius ephemerae,Diptera,Chironomidae,BOLD:FE:SyDip,4,5,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=728729
Eukiefferiella ancyla,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella bedmari,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella boevrensis,Diptera,Chironomidae,BOLD:FE:SyDip,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=751185
Eukiefferiella brehmi,Diptera,Chironomidae,FE:SyDip,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1150392
Eukiefferiella brevicalcar,Diptera,Chironomidae,BOLD:FE:SyDip,25,41,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=257385
Eukiefferiella claripennis,Diptera,Chironomidae,BOLD:FE:SyDip,554,562,3,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=257394
Eukiefferiella clypeata,Diptera,Chironomidae,FE:SyDip,,,,SyDip,gap,
Eukiefferiella coerulescens,Diptera,Chironomidae,BOLD:FE:SyDip,11,12,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56450
Eukiefferiella cyanea,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella devonica,Diptera,Chironomidae,BOLD:FE:SyDip,21,23,4,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=95098
Eukiefferiella discoloripes,Diptera,Chironomidae,BOLD:FE,7,13,2,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380638
Eukiefferiella dittmari,Diptera,Chironomidae,BOLD:FE:SyDip,13,13,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=380634
Eukiefferiella fittkaui,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella fuldensis,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella gracei,Diptera,Chironomidae,BOLD:FE:SyDip,1,3,0,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=939835
Eukiefferiella ilkleyensis,Diptera,Chironomidae,BOLD:FE:SyDip,23,23,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=263437
Eukiefferiella lobifera,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella minor,Diptera,Chironomidae,BOLD:FE:SyDip,116,131,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=141702
Eukiefferiella mirabilis,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella pseudomontana,Diptera,Chironomidae,BOLD:FE:SyDip,1,1,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=785785
Eukiefferiella similis,Diptera,Chironomidae,FE:SyDip,,,,,gap,
Eukiefferiella tirolensis,Diptera,Chironomidae,BOLD:FE:SyDip,16,17,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=56455
Eurycnemus crassipes,Diptera,Chironomidae,BOLD:FE:SyDip,2,4,1,SyDip,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=296264
