species,Order,Family,source,speciemens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Lebia holomera,Coleoptera,Carabidae,FE,,,,,gap,
Lebia humeralis,Coleoptera,Carabidae,BOLD:FE,2,2,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772077 
Lebia lepida,Coleoptera,Carabidae,FE,,,,,gap,
Lebia maraniana,Coleoptera,Carabidae,FE,,,,FE,gap,
Lebia marginata,Coleoptera,Carabidae,BOLD:FE,1,3,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=470534 
Lebia menetriesi,Coleoptera,Carabidae,FE,,,,,gap,
Lebia nigricollis,Coleoptera,Carabidae,FE,,,,,gap,
Lebia nigripes,Coleoptera,Carabidae,FE,,,,,gap,
Lebia scapularis,Coleoptera,Carabidae,BOLD:FE,1,1,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1127449 
Lebia trimaculata,Coleoptera,Carabidae,FE,,,,FE,gap,
Lebia turkestanica,Coleoptera,Carabidae,FE,,,,,gap,
Leistus acutangulus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus angulatus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus angusticollis,Coleoptera,Carabidae,FE,,,,FE,gap,
Leistus angustus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus apfelbecki,Coleoptera,Carabidae,FE,,,,,gap,
Leistus austriacus,Coleoptera,Carabidae,BOLD:FE,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=743341 
Leistus baenningeri,Coleoptera,Carabidae,FE,,,,,gap,
Leistus barnevillei,Coleoptera,Carabidae,FE,,,,,gap,
Leistus bjelasnicensis,Coleoptera,Carabidae,FE,,,,,gap,
Leistus caucasicus,Coleoptera,Carabidae,FE,,,,FE,gap,
Leistus constrictus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus crenatus,Coleoptera,Carabidae,FE,1,2,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133740 
Leistus elegans,Coleoptera,Carabidae,FE,,,,,gap,
Leistus ellipticus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus ferrugineus,Coleoptera,Carabidae,BOLD:FE:iNat,26,43,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282688 
Leistus fulvibarbis,Coleoptera,Carabidae,BOLD:FE,8,11,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=167656 
Leistus fulvus,Coleoptera,Carabidae,FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133742 
Leistus glacialis,Coleoptera,Carabidae,FE,,,,,gap,
Leistus gracilis,Coleoptera,Carabidae,FE,,,,,gap,
Leistus hermonis,Coleoptera,Carabidae,FE,,,,,gap,
Leistus lenkoranus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus magnicollis,Coleoptera,Carabidae,FE,,,,,gap,
Leistus montanus,Coleoptera,Carabidae,BOLD:FE,44,45,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772088 
Leistus nitidus,Coleoptera,Carabidae,BOLD:FE,3,10,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=399026 
Leistus nubivagus,Coleoptera,Carabidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133752 
Leistus odvarkai,Coleoptera,Carabidae,FE,,,,,gap,
Leistus oopterus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus ovipennis,Coleoptera,Carabidae,FE,,,,,gap,
Leistus parvicollis,Coleoptera,Carabidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133753 
Leistus piceus,Coleoptera,Carabidae,BOLD:FE,6,8,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494816 
Leistus punctatissimus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus puncticeps,Coleoptera,Carabidae,FE,,,,,gap,
Leistus pyrenaeus,Coleoptera,Carabidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133754 
Leistus rousi,Coleoptera,Carabidae,FE,,,,,gap,
Leistus rufomarginatus,Coleoptera,Carabidae,BOLD:FE:iNat,27,38,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=167870 
Leistus sardous,Coleoptera,Carabidae,BOLD:FE,2,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1057183 
Leistus spinibarbis,Coleoptera,Carabidae,BOLD:FE:iNat,13,22,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=362016 
Leistus starkei,Coleoptera,Carabidae,FE,,,,,gap,
Leistus terminatus,Coleoptera,Carabidae,BOLD:FE,18,27,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282689 
Leistus ucrainicus,Coleoptera,Carabidae,FE,,,,,gap,
Leistus valcarceli,Coleoptera,Carabidae,FE,,,,,gap,
Lessinodytes caoduroi,Coleoptera,Carabidae,FE,,,,,gap,
Lessinodytes glacialis,Coleoptera,Carabidae,FE,,,,,gap,
Lessinodytes pivai,Coleoptera,Carabidae,FE,,,,,gap,
Licinopsis alternans,Coleoptera,Carabidae,FE,,,,FE,gap,
Licinopsis angustula,Coleoptera,Carabidae,FE,,,,,gap,
Licinopsis gaudini,Coleoptera,Carabidae,FE,,,,,gap,
Licinopsis obliterata,Coleoptera,Carabidae,FE,0,1,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=651920 
Licinopsis picescens,Coleoptera,Carabidae,FE,,,,FE,gap,
Licinopsis schurmanni,Coleoptera,Carabidae,FE,,,,,gap,
Licinus aegyptiacus,Coleoptera,Carabidae,FE,,,,,gap,
Licinus aequatus,Coleoptera,Carabidae,FE,,,,FE,gap,
Licinus bartoni,Coleoptera,Carabidae,FE,,,,,gap,
Licinus cassideus,Coleoptera,Carabidae,BOLD:FE:iNat,19,24,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=496148 https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=460616 
Licinus hoffmannseggii,Coleoptera,Carabidae,BOLD,13,13,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=403089 
Licinus hoffmanseggii,Coleoptera,Carabidae,FE,,,,FE,gap,
Licinus italicus,Coleoptera,Carabidae,FE,,,,,gap,
Licinus manriquianus,Coleoptera,Carabidae,FE,,,,,gap,
Licinus oblongus,Coleoptera,Carabidae,FE,,,,,gap,
Licinus oertzeni,Coleoptera,Carabidae,FE,,,,,gap,
Licinus peltoides,Coleoptera,Carabidae,FE,,,,,gap,
Licinus planicollis,Coleoptera,Carabidae,FE,,,,,gap,
Licinus punctatulus,Coleoptera,Carabidae,BOLD:FE,0,3,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=496140 
Licinus punctulatus,Coleoptera,Carabidae,BOLD,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=879590 
Licinus silphoides,Coleoptera,Carabidae,BOLD:FE,4,4,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1023178 
Limodromus assimilis,Coleoptera,Carabidae,BOLD:FE,84,87,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=312210 
Limodromus krynickii,Coleoptera,Carabidae,BOLD:FE,1,1,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=892861 
Limodromus longiventris,Coleoptera,Carabidae,BOLD:FE,9,10,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=383469 
Lionychus fleischeri,Coleoptera,Carabidae,FE,,,,FE,gap,
Lionychus maritimus,Coleoptera,Carabidae,FE,,,,,gap,
Lionychus ninini,Coleoptera,Carabidae,FE,,,,,gap,
Lionychus orientalis,Coleoptera,Carabidae,FE,,,,,gap,
Lionychus quadrillum,Coleoptera,Carabidae,BOLD:FE:iNat,29,35,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282691 
Lionychus sturmii,Coleoptera,Carabidae,BOLD:FE,5,5,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1080862 
Lonchosternus angolensis,Coleoptera,Carabidae,FE,,,,FE,gap,
Lonchosternus hispanicus,Coleoptera,Carabidae,FE,,,,FE,gap,
Lophyra flexuosa,Coleoptera,Carabidae,FE,0,33,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=912742 
Loricera pilicornis,Coleoptera,Carabidae,BOLD:FE:iNat,112,133,4,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=195910 
Lovricia aenigmatica,Coleoptera,Carabidae,FE,,,,,gap,
Lovricia jalzici,Coleoptera,Carabidae,FE,,,,,gap,
Loxonchus procerus,Coleoptera,Carabidae,FE,,,,FE,gap,
Luraphaenops gionoi,Coleoptera,Carabidae,FE,,,,,gap,
Lusotyphlus lunai,Coleoptera,Carabidae,BOLD,2,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946176 
Lusotyphlus paulinoi,Coleoptera,Carabidae,BOLD,4,5,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946177 
Lymnaeum abeillei,Coleoptera,Carabidae,FE,,,,FE,gap,
Lymnaeum nigropiceum,Coleoptera,Carabidae,FE,,,,FE,gap,
Lymnastis dieneri,Coleoptera,Carabidae,FE,,,,FE,gap,
Lymnastis galilaeus,Coleoptera,Carabidae,FE,,,,FE,gap,
Lymnastis gaudini,Coleoptera,Carabidae,FE,,,,,gap,
Lymnastis luigionii,Coleoptera,Carabidae,FE,,,,,gap,
Lymnastis niloticus,Coleoptera,Carabidae,FE,,,,FE,gap,
Lymnastis subovatus,Coleoptera,Carabidae,FE,,,,,gap,
Lymnastis thoracicus,Coleoptera,Carabidae,FE,,,,,gap,
Masoreus aegyptiacus,Coleoptera,Carabidae,FE,,,,FE,gap,
Masoreus affinis,Coleoptera,Carabidae,FE,,,,,gap,
Masoreus alticola,Coleoptera,Carabidae,FE,,,,,gap,
Masoreus orientalis,Coleoptera,Carabidae,FE,,,,,gap,
Masoreus wetterhallii,Coleoptera,Carabidae,BOLD:FE,8,10,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=733130 
Mastax thermarum,Coleoptera,Carabidae,FE,,,,FE,gap,
Megacephala euphratica,Coleoptera,Carabidae,FE,0,2,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=330833 
Merizodus soledadinus,Coleoptera,Carabidae,BOLD,5,19,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=652230 
Merizomena basalis,Coleoptera,Carabidae,FE,,,,FE,gap,
Merizomena tricolor,Coleoptera,Carabidae,FE,,,,FE,gap,
Mesolestes relictus,Coleoptera,Carabidae,FE,,,,FE,gap,
Mesolestes scapularis,Coleoptera,Carabidae,FE,,,,FE,gap,
Mesolestes sermeti,Coleoptera,Carabidae,FE,,,,FE,gap,
Metablus paracenthesis,Coleoptera,Carabidae,FE,,,,FE,gap,
Metadromius fascifer,Coleoptera,Carabidae,FE,,,,FE,gap,
Metadromius myrmidon,Coleoptera,Carabidae,FE,,,,FE,gap,
Metadromius nanus,Coleoptera,Carabidae,FE,,,,FE,gap,
Metadromius palmi,Coleoptera,Carabidae,FE,,,,,gap,
Metadromius pervenustus,Coleoptera,Carabidae,FE,,,,FE,gap,
Metadromius ramburii,Coleoptera,Carabidae,FE,,,,FE,gap,
Metallina ambigua,Coleoptera,Carabidae,FE,,,,FE,gap,
Metallina lampros,Coleoptera,Carabidae,FE,,,,FE,gap,
Metallina leucoscelis,Coleoptera,Carabidae,FE,,,,FE,gap,
Metallina nigricornis,Coleoptera,Carabidae,FE,,,,FE,gap,
Metallina properans,Coleoptera,Carabidae,FE,,,,FE,gap,
Metallina pseudolampros,Coleoptera,Carabidae,FE,,,,,gap,
Metallina pygmaea,Coleoptera,Carabidae,FE,,,,,gap,
Metallina rugicollis,Coleoptera,Carabidae,FE,,,,FE,gap,
Metallina splendida,Coleoptera,Carabidae,FE,,,,FE,gap,
Metophonus laticollis,Coleoptera,Carabidae,BOLD,7,7,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=528743 
Metophonus melletii,Coleoptera,Carabidae,BOLD:FE,5,7,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=171397 
Metophonus xaxarsi,Coleoptera,Carabidae,BOLD:FE,1,2,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=494818 
Microcharidius amara,Coleoptera,Carabidae,BOLD,4,5,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946178 
Microcharidius baeturicus,Coleoptera,Carabidae,BOLD,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946179 
Microcharidius bazi,Coleoptera,Carabidae,BOLD,3,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946180 
Microcharidius diecki,Coleoptera,Carabidae,BOLD,12,18,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946183 
Microcharidius hiekei,Coleoptera,Carabidae,BOLD,4,5,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946185 
Microcharidius josabelae,Coleoptera,Carabidae,BOLD,2,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946186 
Microcharidius monasticus,Coleoptera,Carabidae,BOLD,1,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946187 
Microcharidius outereloi,Coleoptera,Carabidae,BOLD,4,5,3,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946188 
Microcharidius peregrinus,Coleoptera,Carabidae,BOLD,3,6,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946189 
Microcharidius portilloi,Coleoptera,Carabidae,BOLD,6,7,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946190 
Microcharidius scrofa,Coleoptera,Carabidae,BOLD,7,7,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946191 
Microcharidius tetramerus,Coleoptera,Carabidae,BOLD,7,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946192 
Microcharidius toletanus,Coleoptera,Carabidae,BOLD,6,11,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946193 
Microcharidius wrasei,Coleoptera,Carabidae,BOLD,4,5,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946194 
Microdaccus assingi,Coleoptera,Carabidae,FE,,,,,gap,
Microdaccus opacus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microdaccus teodoroi,Coleoptera,Carabidae,FE,,,,,gap,
Microderes brachypus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes abeillei,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes angusteforcipatus,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes apterus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes badulini,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes baudii,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes corticalis,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes creticus,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes espanoli,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes fissuralis,Coleoptera,Carabidae,BOLD:FE,2,2,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772078 
Microlestes fulvibasis,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes gallicus,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes gomerensis,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes gracilicornis,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes haranti,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes ibericus,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes infuscatus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes levipennis,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes luctuosus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes mauritanicus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes maurus,Coleoptera,Carabidae,BOLD:FE:iNat,24,36,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=167653 
Microlestes minutulus,Coleoptera,Carabidae,BOLD:FE:iNat,25,33,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=371298 
Microlestes negrita,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes phenax,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes plagiatus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microlestes reitteri,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes schroederi,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes seladon,Coleoptera,Carabidae,FE,,,,,gap,
Microlestes syriacus,Coleoptera,Carabidae,FE,,,,FE,gap,
Microserrullula quadricollis,Coleoptera,Carabidae,FE,,,,FE,gap,
Microtyphlus bateti,Coleoptera,Carabidae,FE,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946196 
Microtyphlus canovasae,Coleoptera,Carabidae,FE,,,,,gap,
Microtyphlus fideli,Coleoptera,Carabidae,FE,,,,,gap,
Microtyphlus ganglbaueri,Coleoptera,Carabidae,FE,,,,FE,gap,
Microtyphlus menorquensis,Coleoptera,Carabidae,FE,,,,,gap,
Microtyphlus saxatilis,Coleoptera,Carabidae,FE,,,,,gap,
Microtyphlus schaumi,Coleoptera,Carabidae,FE,,,,FE,gap,
Microtyphlus serratensis,Coleoptera,Carabidae,FE,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=946197 
Microtyphlus strupii,Coleoptera,Carabidae,FE,,,,FE,gap,
Microtyphlus torressalai,Coleoptera,Carabidae,FE,,,,,gap,
Microtyphlus xaxarsi,Coleoptera,Carabidae,FE,,,,,gap,
Microtyphlus zariquieyi,Coleoptera,Carabidae,FE,,,,FE,gap,
Microus mocquerysi,Coleoptera,Carabidae,FE,,,,,gap,
Minosaphaenops ollivieri,Coleoptera,Carabidae,FE,,,,,gap,
Miscodera arctica,Coleoptera,Carabidae,BOLD:FE,31,35,1,ITIS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=378371 
Molopidius spinicollis,Coleoptera,Carabidae,FE,0,2,0,FE,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=957888 
Molops albanicus,Coleoptera,Carabidae,FE,,,,,gap,
Molops apfelbecki,Coleoptera,Carabidae,FE,,,,,gap,
Molops austriacus,Coleoptera,Carabidae,BOLD,1,1,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772056 
Molops biokovensis,Coleoptera,Carabidae,FE,,,,,gap,
Molops bosnicus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops bucephalus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops curtulus,Coleoptera,Carabidae,FE,,,,,gap,
Molops dalmatinus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops dilatatus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops dinaricus,Coleoptera,Carabidae,FE,,,,,gap,
Molops doderoi,Coleoptera,Carabidae,FE,,,,,gap,
Molops elatus,Coleoptera,Carabidae,BOLD:FE:iNat,7,17,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282693 
Molops longipennis,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops maderi,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops matchai,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops merditanus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops obtusangulus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops osmanilis,Coleoptera,Carabidae,FE,,,,,gap,
Molops parreyssi,Coleoptera,Carabidae,FE,,,,,gap,
Molops pentheri,Coleoptera,Carabidae,FE,,,,,gap,
Molops peristericus,Coleoptera,Carabidae,FE,,,,,gap,
Molops piceus,Coleoptera,Carabidae,BOLD:FE:iNat,21,27,4,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=312586 
Molops plurisetosus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops prenjus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops promissus,Coleoptera,Carabidae,FE,,,,,gap,
Molops reiseri,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops rhodopensis,Coleoptera,Carabidae,FE,,,,,gap,
Molops robustus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops simplex,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops spartanus,Coleoptera,Carabidae,FE,,,,FE,gap,
Molops striolatus,Coleoptera,Carabidae,BOLD:FE,3,3,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=665660 
Molops weiratheri,Coleoptera,Carabidae,FE,,,,FE,gap,
Morion olympicus,Coleoptera,Carabidae,FE,,,,FE,gap,
Myas chalybaeus,Coleoptera,Carabidae,FE,,,,FE,gap,
Myriochila melancholica,Coleoptera,Carabidae,BOLD:FE,13,26,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=756108 
Myriochila orientalis,Coleoptera,Carabidae,FE,,,,,gap,
Nebria aetolica,Coleoptera,Carabidae,FE,,,,FE,gap,
Nebria andalusia,Coleoptera,Carabidae,FE,,,,,gap,
Nebria andarensis,Coleoptera,Carabidae,FE,,,,,gap,
Nebria angusticollis,Coleoptera,Carabidae,BOLD,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133761 
Nebria asturiensis,Coleoptera,Carabidae,BOLD,0,1,0,,gap,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=942685 
Nebria attemsi,Coleoptera,Carabidae,FE,,,,,gap,
Nebria belloti,Coleoptera,Carabidae,FE,,,,,gap,
Nebria boschi,Coleoptera,Carabidae,BOLD,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133766 
Nebria bosnica,Coleoptera,Carabidae,FE,,,,,gap,
Nebria brevicollis,Coleoptera,Carabidae,BOLD:FE:iNat,66,85,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=167828 
Nebria carpathica,Coleoptera,Carabidae,FE,,,,,gap,
Nebria caucasica,Coleoptera,Carabidae,FE,,,,,gap,
Nebria complanata,Coleoptera,Carabidae,BOLD,1,2,0,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=237011 
Nebria cordicollis,Coleoptera,Carabidae,FE,,,,FE,gap,
Nebria crenatostriata,Coleoptera,Carabidae,FE,,,,FE,gap,
Nebria currax,Coleoptera,Carabidae,FE,,,,,gap,
Nebria dahlii,Coleoptera,Carabidae,BOLD:FE,2,2,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=967654 
Nebria dejeanii,Coleoptera,Carabidae,FE,,,,,gap,
Nebria dilatata,Coleoptera,Carabidae,FE,,,,,gap,
Nebria eugeniae,Coleoptera,Carabidae,FE,,,,,gap,
Nebria fasciatopunctata,Coleoptera,Carabidae,FE,,,,,gap,
Nebria fontinalis,Coleoptera,Carabidae,BOLD:FE,1,3,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=749566 
Nebria frigida,Coleoptera,Carabidae,FE,10,13,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=378266 
Nebria fulviventris,Coleoptera,Carabidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133787 
Nebria gagates,Coleoptera,Carabidae,BOLD,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133788 
Nebria ganglbaueri,Coleoptera,Carabidae,FE,,,,,gap,
Nebria genei,Coleoptera,Carabidae,FE,,,,,gap,
Nebria germari,Coleoptera,Carabidae,BOLD:FE,6,6,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=520249 
Nebria germarii,Coleoptera,Carabidae,BOLD,2,4,2,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133792 
Nebria hellwigii,Coleoptera,Carabidae,BOLD:FE,19,19,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=403103 
Nebria heydenii,Coleoptera,Carabidae,FE,,,,,gap,
Nebria holtzi,Coleoptera,Carabidae,FE,,,,,gap,
Nebria hybrida,Coleoptera,Carabidae,FE,,,,,gap,
Nebria jockischii,Coleoptera,Carabidae,BOLD:FE,17,19,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=403093 
Nebria kratteri,Coleoptera,Carabidae,FE,,,,FE,gap,
Nebria lafresnayei,Coleoptera,Carabidae,BOLD:FE,1,2,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133801 
Nebria lareyniei,Coleoptera,Carabidae,FE,,,,,gap,
Nebria lariollei,Coleoptera,Carabidae,FE,,,,,gap,
Nebria laticollis,Coleoptera,Carabidae,BOLD:FE,1,2,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133804 
Nebria leonensis,Coleoptera,Carabidae,FE,,,,,gap,
Nebria livida,Coleoptera,Carabidae,BOLD:FE:iNat,11,12,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=510490 
Nebria merkliana,Coleoptera,Carabidae,FE,,,,,gap,
Nebria morula,Coleoptera,Carabidae,FE,,,,,gap,
Nebria nigerrima,Coleoptera,Carabidae,FE,,,,,gap,
Nebria olivieri,Coleoptera,Carabidae,BOLD,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133824 
Nebria orsinii,Coleoptera,Carabidae,FE,,,,,gap,
Nebria pazi,Coleoptera,Carabidae,FE,,,,,gap,
Nebria peristerica,Coleoptera,Carabidae,FE,,,,,gap,
Nebria picicornis,Coleoptera,Carabidae,BOLD:FE:iNat,25,34,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=282694 
Nebria pictiventris,Coleoptera,Carabidae,FE,,,,FE,gap,
Nebria posthuma,Coleoptera,Carabidae,FE,,,,,gap,
Nebria praegensis,Coleoptera,Carabidae,FE,,,,,gap,
Nebria psammodes,Coleoptera,Carabidae,BOLD:FE,1,2,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=1133837 
Nebria punctatostriata,Coleoptera,Carabidae,FE,,,,FE,gap,
Nebria reichii,Coleoptera,Carabidae,FE,,,,FE,gap,
Nebria reitteri,Coleoptera,Carabidae,FE,,,,,gap,
Nebria retrospinosa,Coleoptera,Carabidae,FE,,,,,gap,
Nebria rhilensis,Coleoptera,Carabidae,FE,,,,,gap,
