species,Order,Family,source,speciemens barcoded,specimens,public BINs,verified by,status,BOLD taxid
Adriaphaenops antroherponomimus,Coleoptera,Carabidae,FE,,,,FE,gap,
Adriaphaenops kevser,Coleoptera,Carabidae,FE,,,,,gap,
Adriaphaenops perreaui,Coleoptera,Carabidae,FE,,,,,gap,
Adriaphaenops pretneri,Coleoptera,Carabidae,FE,,,,,gap,
Adriaphaenops staudacheri,Coleoptera,Carabidae,FE,,,,,gap,
Adriaphaenops stirni,Coleoptera,Carabidae,FE,,,,FE,gap,
Adriaphaenops zupcensis,Coleoptera,Carabidae,FE,,,,FE,gap,
Aephnidius ruficornis,Coleoptera,Carabidae,FE,,,,FE,gap,
Aepopsis robini,Coleoptera,Carabidae,FE,,,,FE,gap,
Aepopsis robinii,Coleoptera,Carabidae,BOLD:WORMS,1,1,0,WORMS,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=236982 
Aepus gallaecus,Coleoptera,Carabidae,BOLD:FE:WORMS,2,2,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=236984 
Aepus gracilicornis,Coleoptera,Carabidae,FE,,,,,gap,
Agatus cingulatus,Coleoptera,Carabidae,FE,,,,FE,gap,
Agatus flavipes,Coleoptera,Carabidae,FE,,,,FE,gap,
Agelaea fulva,Coleoptera,Carabidae,FE,,,,,gap,
Agonum afrum,Coleoptera,Carabidae,BOLD,11,13,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=309340 
Agonum angustatum,Coleoptera,Carabidae,FE,,,,,gap,
Agonum antennarium,Coleoptera,Carabidae,BOLD:FE,2,2,0,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=772098 
Agonum bicolor,Coleoptera,Carabidae,FE,4,4,1,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=379009 
Agonum carbonarium,Coleoptera,Carabidae,FE,,,,FE,gap,
Agonum chalconotum,Coleoptera,Carabidae,FE,,,,FE,gap,
Agonum dolens,Coleoptera,Carabidae,BOLD:FE,3,4,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=383468 
Agonum duftschmidi,Coleoptera,Carabidae,BOLD:FE,13,16,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=318129 
Agonum emarginatum,Coleoptera,Carabidae,BOLD:FE,23,24,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=317897 
Agonum ericeti,Coleoptera,Carabidae,BOLD:FE,9,11,2,FE,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=459363 
Agonum exaratum,Coleoptera,Carabidae,FE,7,8,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=378927 
Agonum fuliginosum,Coleoptera,Carabidae,BOLD:FE:iNat,56,61,1,,,https://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=309339 
